X01 = 59   Y01 = 63
X02 = 57   Y02 = 61
X03 = 50   Y03 = 54
X04 = 48   Y04 = 52
X05 = 43   Y05 = 47
X06 = 41   Y06 = 45
X07 = 34   Y07 = 38
X08 = 32   Y08 = 36
X09 = 27   Y09 = 31
X10 = 25   Y10 = 29
X11 = 18   Y11 = 22
X12 = 16   Y12 = 20
X13 = 11   Y13 = 15
X14 = 09   Y14 = 13
X15 = 02   Y15 = 06
X16 = 00   Y16 = 04
