X01 = 63   Y01 = 61	   
X02 = 55   Y02 = 53	    
X03 = 47   Y03 = 45	    
X04 = 39   Y04 = 37	    
X05 = 31   Y05 = 29	    
X06 = 23   Y06 = 21	    
X07 = 15   Y07 = 13	    
X08 = 07   Y08 = 05	    
X09 = 62   Y09 = 60	    
X10 = 54   Y10 = 52	    
X11 = 46   Y11 = 44	    
X12 = 38   Y12 = 36	    
X13 = 30   Y13 = 28	    
X14 = 22   Y14 = 20	    
X15 = 14   Y15 = 12	    
X16 = 06   Y16 = 04	    
