X01 = 59   Y01 = 57
X02 = 51   Y02 = 49
X03 = 43   Y03 = 41
X04 = 35   Y04 = 33
X05 = 27   Y05 = 25
X06 = 19   Y06 = 17
X07 = 11   Y07 = 09
X08 = 03   Y08 = 01
X09 = 58   Y09 = 56
X10 = 50   Y10 = 48
X11 = 42   Y11 = 40
X12 = 34   Y12 = 32
X13 = 26   Y13 = 24
X14 = 18   Y14 = 16
X15 = 10   Y15 = 08
X16 = 02   Y16 = 00
